Relations,Labels,Templates,We don't know Y,Plural Templates,Checked by German Speaker?,
http://www.wikidata.org/entity/P371,Moderator,X ist der Moderator von Y.,"Ich weiß nicht, wen X präsentiert.",X ist der Moderator von Y.,FALSE,
http://www.wikidata.org/entity/P375,Trägerrakete,X ist die Trägerrakete von Y,"Ich weiß nichts über Dinge, von denen X die Trägerrakete ist.",X ist die Trägerrakete von Y,FALSE,
http://www.wikidata.org/entity/P376,auf astronomischem Körper,X ist auf Y.,"Ich kann nicht entscheiden, auf welchem astronomischen Körper sich X befindet.",X ist auf Y.,FALSE,
http://www.wikidata.org/entity/P38,Währung,Die Währung von X ist Y.,Ich kann die aktuelle währung von X nicht finden.,Die Währungen von X sind Y.,FALSE,
http://www.wikidata.org/entity/P39,öffentliches Amt oder Stellung,X besetzt die Position Y.,Ich kann die von X besetzte Positionen nicht finden.,X besetzt die Positionen Y.,FALSE,
http://www.wikidata.org/entity/P397,übergeordneter astronomischer Körper,X gehört zu Y.,"Ich kann den astronomischen Körper, zu dem X gehört, nicht finden.",X gehört zu Y.,FALSE,
http://www.wikidata.org/entity/P398,untergeordnete astronomischer Körper,Y gehört zu X.,"Ich kann die astronomischen Körper, die zu X gehören, nicht finden.",Y gehören zu X.,FALSE,
http://www.wikidata.org/entity/P40,Kinder,Y ist das Kind von X.,Ich kann die Kinder von X nicht finden.,Y sind die Kinder von X.,FALSE,
http://www.wikidata.org/entity/P400,Plattform,Die Plattform von X ist Y.,Ich kann die Plattformen von X nicht finden.,Die Plattformen von X sind Y.,FALSE,
http://www.wikidata.org/entity/P403,mündet in,X fließt in Y.,"Ich kann nicht entscheiden, in welches X fließt.",X fließt in Y.,FALSE,
http://www.wikidata.org/entity/P404,Spielmodus,Der Spielmodus von X ist Y.,Ich kann die Spielmodi von X nicht finden.,Die Spielmodi von X sind Y.,FALSE,
http://www.wikidata.org/entity/P407,"Sprache des Werks, des Namens oder des Begriffes",X wurde in Y erstellt.,"Ich kenne die Sprache nicht, in der X erstellt wurde.",X wurde in Y erstellt.,FALSE,
http://www.wikidata.org/entity/P408,Engine,X wird von Y angetrieben.,"Ich kann die Software, die X mit Strom versorgt, nicht finden.",X wird von Y angetrieben.,FALSE,
http://www.wikidata.org/entity/P410,militärischer Dienstgrad,X hat den militärischen Rang Y.,Ich kenne den militärischen Rang von X nicht.,X hat die militärischen Ränge Y.,FALSE,
http://www.wikidata.org/entity/P411,Status der Selig- oder Heiligsprechung,X ist ein Y.,Ich kenne den Kanonisierungsstatus von X nicht.,X ist Y.,FALSE,
http://www.wikidata.org/entity/P412,Stimmlage,Die Stimmlage von X ist Y.,Ich kenne die Stimmlage von X nicht.,Die Stimmlagen von X sind Y.,FALSE,
http://www.wikidata.org/entity/P413,Spielerposition/Spezialität,X hat die Rolle von Y.,Ich kenne die Rolle von X nicht.,X hat die Rollen von Y.,FALSE,
http://www.wikidata.org/entity/P414,Börse,X wird an der Y. öffentlich gehandelt.,"Ich weiß nicht, wo X gehandelt wird.",X wird an den Y öffentlich gehandelt.,FALSE,
http://www.wikidata.org/entity/P417,Patron,Der Gönner von X ist Y.,Ich kenne den Schutzpatron von X nicht.,Die Gönner von X sind Y.,FALSE,
http://www.wikidata.org/entity/P421,Zeitzone,Die Zeitzone von X ist Y.,Ich kenne die Zeitzone von X nicht.,Die Zeitzonen von X sind Y.,FALSE,
http://www.wikidata.org/entity/P425,Betätigungsfeld des Berufes,Der Beruf von X ist Y.,Ich kenne den Beruf von X nicht.,Die Berufe von X sind Y.,FALSE,
http://www.wikidata.org/entity/P427,nomenklatorischer Typ,Der taxonomische Typ von Y ist X.,Ich kenne den taxonomischen Typ von X nicht.,Der taxonomische Typ von Y ist X.,FALSE,
http://www.wikidata.org/entity/P437,Materialart/Vertriebsweg,X ist auf Y verfügbar.,"Ich weiß nicht, wo X verfügbar ist.",X ist auf Y verfügbar.,FALSE,
http://www.wikidata.org/entity/P449,Sender der Erstausstrahlung,Das Netzwerk von X ist Y.,Ich kenne das Netzwerk von X nicht.,Die Netzwerke von X sind Y.,FALSE,
http://www.wikidata.org/entity/P451,Lebenspartner,X ist der Lebenspartner von Y.,Ich kenne den Lebenspartner von X nicht.,X ist der Lebenspartner von Y.,FALSE,
http://www.wikidata.org/entity/P452,Branche,X ist in der Y-Branche.,"Ich weiß nicht, in welcher Branche X sich befindet.",X ist in den Y-Branchen.,FALSE,
http://www.wikidata.org/entity/P462,Farbe,X hat die Farbe Y.,Ich kenne die Farbe von X nicht.,X hat die Farben Y.,FALSE,
http://www.wikidata.org/entity/P463,Mitglied von,X ist das Mitglied von Y.,"Ich weiß nicht, bei was X ein Mitglied ist.",X ist das Mitglied von Y.,FALSE,
http://www.wikidata.org/entity/P466,Bewohner/Nutzer,X ist der Insasse von Y.,Ich kenne den Insassen von X nicht.,X ist der Insasse von Y.,FALSE,
http://www.wikidata.org/entity/P467,verabschiedet durch,X wird von Y gesetzlich verabschiedet.,"Ich weiß nicht, von wem X gesetzlich verabschiedet wird.",X wird von Y gesetzlich verabschiedet.,FALSE,
http://www.wikidata.org/entity/P469,See im Verlauf,X fließt durch Y.,"Ich weiß nicht, wodurch X fließt.",X fließt durch Y.,FALSE,
http://www.wikidata.org/entity/P47,gemeinsame Grenze mit,X grenzt an Y.,"Ich weiß nicht, an was X grenzt.",X grenzt an Y.,FALSE,
http://www.wikidata.org/entity/P479,Eingabegerät,X hat das Eingabegerät Y.,Ich kenne das Eingabegerät von X nicht.,X hat die Eingabegeräte Y.,FALSE,
http://www.wikidata.org/entity/P485,archiviert in,Die Werke von X werden bei Y archiviert.,"Ich kann nicht finden, wo die Werke von X archiviert sind.",Die Werke von X werden bei Y archiviert.,FALSE,
http://www.wikidata.org/entity/P488,Vorsitzender,X ist der Vorsitzende von Y,Ich kenne den Vorsitzenden von X nicht.,X ist der Vorsitzende von Y,FALSE,
http://www.wikidata.org/entity/P495,Ursprungsland,X ist das Ursprungsland von Y,Ich kenne das Ursprungsland von X nicht.,X ist das Ursprungsland von Y,FALSE,
http://www.wikidata.org/entity/P50,Autor,X wurde von Y geschrieben.,Ich kenne den Autor von X nicht.,X wurde von Y geschrieben.,FALSE,
http://www.wikidata.org/entity/P504,Heimathafen,Der Heimathafen von X ist Y.,Ich kenne den Heimathafen von X nicht.,Die Heimathäfen von X sind Y.,FALSE,
http://www.wikidata.org/entity/P509,Todesursache,Die Todesursache von X war Y.,Ich kenne den Todesfall von X nicht.,Die Todesursachen von X waren Y.,FALSE,
http://www.wikidata.org/entity/P512,akademischer Grad,X hat den akademischen Grad Y.,"Ich weiß nicht, was für einen akademischen Grad X hat.",X hat die akademischen Grade Y.,FALSE,
http://www.wikidata.org/entity/P516,Antrieb,Das Triebwerk von X ist Y.,Ich kann das Triebwerk von X nicht finden.,DieTriebwerke von X sind Y.,FALSE,
http://www.wikidata.org/entity/P520,Bewaffnung,X ist mit Y scharf geschaltet.,Ich habe keine Daten über die Waffen von X.,X ist mit Y scharf geschaltet.,FALSE,
http://www.wikidata.org/entity/P53,Familie,X gehört zur Familie Y.,Ich kann keine Informationen über die Familie von X finden.,X gehört zu den Familien Y.,FALSE,
http://www.wikidata.org/entity/P530,diplomatische Beziehung,X hat diplomatische Beziehungen zu Y.,Ich kenne die diplomatischen Beziehungen von X nicht.,X hat diplomatische Beziehungen zu Y.,FALSE,
http://www.wikidata.org/entity/P532,Registerhafen,Der Registerhafen von X ist Y.,"Ich kann den Registerhafen, an dem X registriert ist, nicht finden.",Die Registerhäfen von X sind Y.,FALSE,
http://www.wikidata.org/entity/P54,Mitglied von Sportteam oder -verein,X spielt im Team Y.,"Ich weiß nicht, wo X spielt.",X spielt in den Teams Y.,FALSE,
http://www.wikidata.org/entity/P551,Wohnsitz,X ist der Wohnsitz von Y.,"Ich weiß nicht, was der Wohnsitz von X ist.",X ist der Wohnsitz von Y.,FALSE,
http://www.wikidata.org/entity/P559,Endpunkt (Objekt),X endet bei Y.,Der Endpunkt von X ist mir unbekannt.,X endet bei Y.,FALSE,
http://www.wikidata.org/entity/P560,Richtung,X ist auf Y gerichtet.,"Ich weiß nicht, was X nach zwei Seiten richtet.",X ist auf Y gerichtet.,FALSE,
http://www.wikidata.org/entity/P566,Basionym,X hat als Basionym Y.,Ich bin mir der Basionyme von X nicht bewusst.,X hat als Basionyme Y.,FALSE,
http://www.wikidata.org/entity/P57,Regisseur,X ist der Direktor von Y.,"Ich weiß nicht, wer der Direktor von X ist.",X ist der Direktor von Y.,FALSE,
http://www.wikidata.org/entity/P58,Drehbuchautor,X ist der Drehbuchautor von Y.,"Ich weiß nicht, wer der Drehbuchautor von X ist.",X ist der Drehbuchautor von Y.,FALSE,
http://www.wikidata.org/entity/P6,Leiter der Regierung oder Verwaltung,Y war der Premierminister von X.,"Ich weiß nicht, wer der Premierminister von X ist.",Y war der Premierminister von X.,FALSE,
http://www.wikidata.org/entity/P607,Kriegseinsatz,X war am Y beteiligt.,"Ich weiß nicht, zu welchen Konflikten X gehört.",X war an den Y beteiligt.,FALSE,
http://www.wikidata.org/entity/P608,Ausstellungen,X wurde auf der Y ausgestellt.,"Ich kann keine Ausstellungen finden, bei denen X anwesend war.",X wurde auf den Y ausgestellt.,FALSE,
http://www.wikidata.org/entity/P609,Endstelle (Standort),X hat den Terminusstandort Y.,"Ich weiß nicht, wo der Endpunkt von X ist.",X hat die Terminusstandorte Y.,FALSE,
http://www.wikidata.org/entity/P61,Entdecker oder Erfinder,Y ist der Erfinder von X.,"Ich weiß nicht, wer X erfunden hat.",Y ist der Erfinder von X.,FALSE,
http://www.wikidata.org/entity/P610,höchster Punkt,X hat die höchste Höhe in Y.,"Ich weiß nicht, was der höchste Punkt in X ist.",X hat die höchste Höhe in Y.,FALSE,
http://www.wikidata.org/entity/P611,Ordensgemeinschaft,X gehört zum religiösen Orden der Y.,"Ich weiß nicht, zu welchem Orden X gehört.",X gehört zu den religiösen Orden der Y.,FALSE,
http://www.wikidata.org/entity/P629,Ausgabe oder Übersetzung von,X ist die Ausgabe oder Übersetzung von Y.,Ich kann die Ausgabe oder Übersetzung von X nicht finden.,X ist die Ausgabe oder Übersetzung von Y.,FALSE,
http://www.wikidata.org/entity/P636,Applikationsform,Der Verabreichungsweg von X ist Y.,Ich kann den Weg der Verwaltung von X nicht finden.,Die Verabreichungswege von X sind Y.,FALSE,
http://www.wikidata.org/entity/P641,Sportart,X spielt den Sport Y.,"Ich kenne nicht die Sportarten, die von X gespielt werden.",X spielt die Sportarten Y.,FALSE,
http://www.wikidata.org/entity/P647,gedraftet durch,X wird von Y entworfen.,Ich kann den Verfasser von X nicht finden.,X wird von Y entworfen.,FALSE,
http://www.wikidata.org/entity/P655,Übersetzer,X wird übersetzt durch Y.,Ich kann die Übersetzer von X nicht finden.,X wird übersetzt durch Y.,FALSE,
http://www.wikidata.org/entity/P658,Titelliste,Eine der Spuren in der Trackliste von X ist Y.,Ich kenne die Spuren in X nicht.,,FALSE,
http://www.wikidata.org/entity/P664,Veranstalter,X ist der Organisator von Y,"Ich kann die Dinge nicht finden, die X organisiert hat.",,FALSE,
http://www.wikidata.org/entity/P669,Straße,X befindet sich auf der Straße Y,"Ich kann die Straße, auf der X steht, nicht finden.",,FALSE,
http://www.wikidata.org/entity/P674,Figuren,X erscheint in Y,"Ich weiß nichts über Dinge, in denen X erscheint.",,FALSE,
http://www.wikidata.org/entity/P676,Text von,X hat Texte von Y geschrieben.,Ich kenne den Texter von X nicht.,,FALSE,
http://www.wikidata.org/entity/P680,Molekularfunktion,Molekulare Funktion von X ist Y,Ich habe nicht die Informationen über die molekulare Funktion von X.,,FALSE,
http://www.wikidata.org/entity/P681,Zellkomponente,X ist die Zellkomponente für Y,"Ich kann die Zellen, von denen X eine Komponente ist, nicht finden.",,FALSE,
http://www.wikidata.org/entity/P682,biologischer Prozess,X ist am biologischen Prozess Y beteiligt.,"Ich weiß nicht, an welchen Prozessen X beteiligt ist.",,FALSE,
http://www.wikidata.org/entity/P684,Ortholog,Die Orthologie von X ist Y.,Ich kann die Orthologie von X nicht finden.,,FALSE,
http://www.wikidata.org/entity/P688,codiert,X ist das Produkt eines Gens Y.,"Ich kann das Gen nicht finden, das zu X führt.",,FALSE,
http://www.wikidata.org/entity/P689,befällt,X befällt Y,"Ich weiß nicht, welche Dinge von X betroffen waren.",,FALSE,
http://www.wikidata.org/entity/P69,besuchte Bildungseinrichtung,X hatte ihre Studien in Y.,"Ich weiß nicht, wo X gebildet wurde.",,FALSE,
http://www.wikidata.org/entity/P702,codiert von,X wird durch Y kodiert.,Ich kann den Geber nicht von X unterscheiden.,,FALSE,
http://www.wikidata.org/entity/P703,auffindbar in Taxon,X ist im Taxon von Y enthalten.,"Ich bin mir nicht bewusst, in welchen Taxonen X gefunden wird.",,FALSE,
http://www.wikidata.org/entity/P706,liegt geografisch im Gebiet oder Gewässer,X befindet sich auf Y,"Ich bin mir nicht sicher, welche Geländeeigenschaften sich auf welchem X befindet.",,FALSE,
http://www.wikidata.org/entity/P708,Diözese,Die Diözese X ist Y.,Ich kenne die Diözese X nicht.,,FALSE,
http://www.wikidata.org/entity/P710,Teilnehmer,X hat an Y teilgenommen.,"Ich kann keine Dinge finden, an denen X teilgenommen hat.",,FALSE,
http://www.wikidata.org/entity/P725,Sprecher,X ist der Synchronsprecher von Y.,Ich kann die von X gesprochenen Charaktere nicht finden.,,FALSE,
http://www.wikidata.org/entity/P734,Familienname,X hat den Familiennamen von Y,Ich kenne den Familiennamen von X nicht.,,FALSE,
http://www.wikidata.org/entity/P735,Vorname,X hat den Namen Y gegeben.,Ich kenne den Vornamen von X nicht.,,FALSE,
http://www.wikidata.org/entity/P737,beeinflusst von,X wird beeinflusst durch Y,Ich kann den Einflussnehmer von X nicht finden.,,FALSE,
http://www.wikidata.org/entity/P739,Patrone,X wird als Munition in Y verwendet.,"Ich kann nicht finden, was X als Munition verwendet.",,FALSE,
http://www.wikidata.org/entity/P740,Gründungsort,X wurde in Y gebildet.,"Ich weiß nicht, wo X gebildet wurde.",,FALSE,
http://www.wikidata.org/entity/P748,ernannt durch,X wird von Y ernannt.,"Ich kann nicht sagen, wer X ernannt hat.",,FALSE,
http://www.wikidata.org/entity/P749,übergeordnete Organisation,X ist die Mutterorganisation von Y,"Ich bin nicht in der Lage, die Organisationen unter X zu entscheiden.",,FALSE,
http://www.wikidata.org/entity/P750,Distributor,X ist der Verteiler von Y,"Ich kann die Dinge nicht finden, von denen X ein Verteiler ist.",,FALSE,
http://www.wikidata.org/entity/P765,Belag,X wird auf Y gespielt.,"Ich kann die Oberfläche, auf der X gespielt wird, nicht erkennen.",,FALSE,
http://www.wikidata.org/entity/P767,Mitarbeiter des Werks,Y ist ein Mitwirkender an X,Ich kann die Mitwirkenden von X nicht finden.,,FALSE,
http://www.wikidata.org/entity/P768,Wahlbezirk,Der Wahlkreis von X ist Y.,"Ich bin mir nicht sicher, was den ungewissen Bezirk X betrifft.",,FALSE,
http://www.wikidata.org/entity/P769,signifikante Arzneimittelwechselwirkung,X reagiert signifikant mit Y,Ich habe nicht die Informationen über die Wechselwirkungen von X mit Medikamenten.,,FALSE,
http://www.wikidata.org/entity/P780,Symptome,Y ist ein Symptom ist ein Symptom ist X,Ich bin mir nicht sicher über die Symptome von X.,,FALSE,
http://www.wikidata.org/entity/P790,anerkannt von,X wird von Y genehmigt.,"Ich weiß nicht, wer X genehmigt hat.",,FALSE,
http://www.wikidata.org/entity/P793,Schlüsselereignis,"Y ist ein signifikantes Ereignis, an dem X beteiligt ist.","Ich bin nicht in der Lage, die wichtigen Ereignisse mit X zu finden.",,FALSE,
http://www.wikidata.org/entity/P800,Werke,Eines der bemerkenswertesten Werke von X ist Y.,Ich kann die bemerkenswerten Werke von X nicht finden.,,FALSE,
http://www.wikidata.org/entity/P802,Schüler,X ist ein Schüler von Y,"Ich kann nicht sagen, wessen Schüler X ist.",,FALSE,
http://www.wikidata.org/entity/P805,beschreibendes Datenobjekt,Bei X handelt es sich wahrscheinlich um Y,"Ich weiß nicht, worum es bei X geht.",,FALSE,
http://www.wikidata.org/entity/P81,Strecke,X ist die Verbindungsleitung für Y,"Ich bin mir sehr unsicher über die Leitung, in die X verbindet.",,FALSE,
http://www.wikidata.org/entity/P812,Hauptfach im Studium,X hat einen akadmischen Major in Y.,Ich bin mir nicht bewusst über den akademischen Schwerpunkt von X.,,FALSE,
http://www.wikidata.org/entity/P825,Widmung an,X ist Y gewidmet.,"Ich weiß nicht, wem X gewidmet war.",,FALSE,
http://www.wikidata.org/entity/P826,Tonart,X ist in einer Tonart von Y,Ich bin nicht über die Tonalitäten von X informiert.,,FALSE,
http://www.wikidata.org/entity/P828,Ursache,Y verursacht X,"Ich kann nicht sagen, was X verursacht.",,FALSE,
http://www.wikidata.org/entity/P837,Jahrestag,X tritt jedes Jahr auf Y auf.,"Ich bin mir nicht sicher, an welchem Tag X jedes Jahr auftritt.",,FALSE,
http://www.wikidata.org/entity/P84,Architekt,Y war der Architekt von X.,"Ich weiß nicht, wer der Architekt von X war",,FALSE,
http://www.wikidata.org/entity/P840,Handlungsort,Der narrative Ort für X ist Y.,Wir wissen nichts über den narrativen Ort von X.,,FALSE,
http://www.wikidata.org/entity/P841,Gedenktag,Der Festtag für X ist Y.,"Ich kann nicht sagen, was der Feiertag von X ist.",,FALSE,
http://www.wikidata.org/entity/P85,Hymne,Y ist die Hymne für X.,Ich weiß nichts über die Hymne von X.,,FALSE,
http://www.wikidata.org/entity/P859,Sponsor,Der Sponsor von X ist Y.,Ich weiß nichts von den Sponsoren von X.,,FALSE,
http://www.wikidata.org/entity/P86,Komponist,Der Komponist von X ist Y.,"Sorry, ich habe keine Informationen über den Komponisten von X.",,FALSE,
http://www.wikidata.org/entity/P870,Instrumentation,X wird mit Y orchestriert.,"Ich weiß nicht, wie X orchestriert wird.",,FALSE,
http://www.wikidata.org/entity/P88,Auftraggeber,X wird von Y in Auftrag gegeben.,"Ich weiß nicht, wer X beauftragt hat.",,FALSE,
http://www.wikidata.org/entity/P880,CPU,"Y ist die CPU, die in X verwendet wird.","Ich weiß nicht, welche CPU in X verwendet wurde.",,FALSE,
http://www.wikidata.org/entity/P915,Drehort,Y ist der Drehort von X.,"Sorry, ich bin mir des Drehortes von X nicht bewusst.",,FALSE,
http://www.wikidata.org/entity/P921,Schlagwort,Das Hauptthema von X ist Y.,"Sorry, ich kenne das Hauptthema von X nicht.",,FALSE,
http://www.wikidata.org/entity/P931,"Ort, der vom Verkehrsknotenpunkt bedient wird","Y, das von X als Verkehrsknotenpunkt genutzt wird.",Ich kenne den Verkehrsknotenpunkt von X nicht.,,FALSE,
http://www.wikidata.org/entity/P937,Wirkungsort,Y ist der Arbeitsort von X,"Sorry, ich kenne den Arbeitsort von X nicht.",,FALSE,
http://www.wikidata.org/entity/P941,inspiriert von,X ist inspiriert von Y,"Sorry, ich habe keine Ahnung, wer X inspiriert hat.",,FALSE,
http://www.wikidata.org/entity/P97,Adelstitel,X ist ein edler Titel von Y.,Ich kenne den edlen Titel von X nicht.,,FALSE,
http://www.wikidata.org/entity/P974,Nebenfluss,X ist der Nebenfluss von Y,Ich kenne den Nebenfluss von X nicht.,,FALSE,
http://www.wikidata.org/entity/P98,Herausgeber,Y ist Editor X,Ich kenne den Herausgeber von X nicht.,,FALSE,
http://www.wikidata.org/entity/P991,erfolgreicher Kandidat,Y war ein erfolgreicher Kandidat von X.,Ich kenne keinen erfolgreichen Kandidaten von X.,,FALSE,
http://www.wikidata.org/entity/P3189,innerviert durch,X wird durch Y innerviert.,"Ich weiß nicht, wovon X angeregt wurde.",,FALSE,
http://www.wikidata.org/entity/P155,Vorgänger,X folgt Y,"Ich weiß nicht, was X folgt.",,FALSE,
http://www.wikidata.org/entity/P1365,ersetzt,X folgt Y,"Ich weiß nicht, was X folgt.",,FALSE,
http://www.wikidata.org/entity/P286,Cheftrainer,Y ist ein Head Coach von X.,"Ich weiß nicht, wer der Cheftrainer von X ist.",,FALSE,
http://www.wikidata.org/entity/P1619,Eröffnungsdatum,X wurde in Y geöffnet.,"Ich weiß nicht, wann X offiziell eröffnet wurde.",,FALSE,
http://www.wikidata.org/entity/P1101,Stockwerke,X hat Y Stockwerke,"Sorry, ich bin mir der Anzahl der Stockwerke in X nicht bewusst.",,FALSE,
http://www.wikidata.org/entity/P571,"Gründung, Erstellung bzw. Entstehung",X wurde in Y gegründet.,"Ich weiß nicht, wann X gegründet wurde.",,FALSE,
http://www.wikidata.org/entity/P969,Adresse,X befindet sich bei Y,Ich kenne die genaue Adresse von X nicht.,,FALSE,
http://www.wikidata.org/entity/P2196,Anzahl der Lernenden,X hat Y Schüler.,"Ich weiß nicht, wie viele Schüler bei X sind.",,FALSE,
http://www.wikidata.org/entity/P1174,Besucher pro Jahr,X hat jährlich ca. Y Besucher.,"Sorry, ich weiß nicht, wie viele Besucher X jährlich besuchen.",,FALSE,
http://www.wikidata.org/entity/P2048,Höhe,X ist Y groß,"Sorry, ich kenne die Höhe von X nicht.",,FALSE,
http://www.wikidata.org/entity/P1083,Kapazität,X hat Y-Sitze,"Ich weiß nicht, wie viele Plätze es in X gibt.",,FALSE,
http://www.wikidata.org/entity/P2043,Länge,X ist Y lang,"Ich weiß nicht, wie lang X ist.",X hat Längen Y.,FALSE,
http://www.wikidata.org/entity/P2046,Fläche,X hat eine eine Fläche von Y.,"Ich weiß nicht, wie viel Platz X einnimmt.",X hat Flächen Y.,FALSE,
http://www.wikidata.org/entity/P2130,Kosten,X kostet Y.,Ich kenne die Kosten für X nicht.,X kostet Y.,FALSE,
http://www.wikidata.org/entity/P1451,Mottotext,X hat ein Motto Y,Ich bin mir des Mottos von X nicht bewusst.,X hat die Mottos Y.,FALSE,
http://www.wikidata.org/entity/P569,Geburtsdatum,X wurde am Y geboren.,Ich kenne den Geburtstag von X nicht.,X wurde am Y geboren.,FALSE,
http://www.wikidata.org/entity/P822,Maskottchen,Ein Maskottchen von X ist Y.,Ich kenne das Maskottchen von X nicht.,Die Maskottchen von X sind Y.,FALSE,
http://www.wikidata.org/entity/P570,Sterbedatum,X starb am Y.,"Ich weiß nicht, wann X gestorben ist.",X starb am Y.,FALSE,
http://www.wikidata.org/entity/P1477,Geburtsname,X wurde als Y geboren.,Ich kenne den Geburtsnamen von X nicht.,X wurde als Y geboren.,FALSE,
http://www.wikidata.org/entity/P1128,Beschäftigte,Y Mitarbeiter arbeiten bei X,"Im Moment kann ich nicht beantworten, wie viele Mitarbeiter bei X arbeiten.",Y Mitarbeiter arbeiten bei X,FALSE,
http://www.wikidata.org/entity/P1082,Einwohnerzahl,Die Bevölkerung von X ist Y.,"Sorry, ich bin mir der Population von X nicht bewusst.",Die Bevölkerung von X sind Y.,FALSE,
http://www.wikidata.org/entity/P885,Quelle des Wasserlaufs,Die Quelle von X ist Y.,"Sorry, ich kenne die Quelle von X nicht.",Die Quelle von X sind Y.,FALSE,
http://www.w3.org/2000/01/rdf-schema#label,Name,Das ist article(X) X.,"Sorry, ich weiß nicht, was das ist.",Das sind X.,TRUE,
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Typ,X ist ein Y.,"Sorry, ich weiß nicht, was es ist.",X ist ein Y.,FALSE,
http://www.wikidata.org/entity/P3189,innerviert durch,X wird durch Y innerviert.,"Ich bin mir nicht sicher, wer X verärgert hat.",X wird durch Y innerviert.,FALSE,
http://www.wikidata.org/entity/P279,Unterklasse von,X ist eine Unterklasse von Y,"Ich bin mir nicht sicher, zu welcher Kategorie X gehört.",X ist eine Unterklasse von Y,FALSE,
http://www.wikidata.org/entity/P150,Untereinheit (administrative Einheit),Y ist in X,"Ich habe nicht die Information, über welches Verwaltungsgebiet X verfügt.",Y sind in X,FALSE,
http://www.wikidata.org/entity/P156,Nachfolger,X ist Nachfolger von Y,"Ich weiß nicht, wer X folgt.",X ist Nachfolger von Y,FALSE,
http://www.wikidata.org/entity/P1308,Amtsinhaber,Y leitet X,"Ich habe keine Informationen darüber, wer das X-Büro innehatte.",Y leiten X,FALSE,
http://www.wikidata.org/entity/P105,taxonomischer Rang,X hat einen Taxonrang von Y.,Ich kenne den Taxonrang von X nicht.,X hat einen Taxonrang von Y.,FALSE,
http://www.wikidata.org/entity/P59,Sternbild,X ist in Konstellation Y.,"Mir ist nicht bekannt, zu welcher Konstellation X gehört.",X ist in Konstellation Y.,FALSE,
http://www.wikidata.org/entity/P171,übergeordnetes Taxon,Y ist ein übergeordnetes Taxon von X,Ich kann das übergeordnete Taxon von X nicht unterscheiden.,Y sind X übergeordnet,FALSE,
http://www.wikidata.org/entity/P179,Serie,X ist ein Teil von Y,"Ich kann die Serie, zu der X gehört, nicht erkennen.",X ist ein Teil von Y,FALSE,
http://www.wikidata.org/entity/P65,astronomischer Entdeckungsort,X wurde in Y entdeckt.,"Ich habe keine Informationen über den Ort, an dem X entdeckt wurde.",X wurde in Y entdeckt.,FALSE,
http://www.wikidata.org/entity/P31,ist ein(e),X ist ein Y,Ich weiß nichts über die Kategorien von X.,X ist Y,FALSE,
http://www.wikidata.org/entity/P155,Vorgänger,X ist Vorgänger von Y,"Ich bin nicht derjenige, der X folgt.",X ist Vorgänger von Y,FALSE,
Template 1,Anzahl der Räume,X hat Y Räume,"Ich weiß nicht, wie viele Räume X hat.",X hat Y Räume,TRUE,
Template 2,campus,X ist am Y,"Ich weiß nicht, wo X Campus ist.",X ist bei Y,FALSE,
Template 3,Anzahl der Restaurants,X hat Z Restaurants,"Ich weiß nicht, wie viele Restaurants X hat.",X hat Z Restaurants,TRUE,
http://linkedgeodata.org/ontology/openingHours,Öffnungszeiten,Die Öffnungszeiten von X sind Y,"Ich weiß nicht, wann X geöffnet ist.",Die Öffnungszeiten von X sind Y,,
http://dbpedia.org/ontology/abstract,Abstrakt,Y,,Y,,
http://kdds.com/history,Geschite,Y,,Y,,
class_http://linkedgeodata.org/ontology/Restaurant,Restaurants,Es gibt ein Restaurant Y neben X,"Ich weiß nicht, welche Restaurants neben X sind",Es gibt die Restaurants Y neben X
class_http://linkedgeodata.org/ontology/Cafe,Cafes,Ich weiß ein Cafe Y near X,"Ich weiß nicht, welche Cafes neben X sind",Es gibt die Cafes Y neben X
